Transaction ID,Date,Account Number,Bank Name,Bank Statement Amount,Book Records Amount,Match Status,Break Reason
TXN-006253,2040-02-13,ACCT-611080,Bank of America,-4.0030627,-4.087139,Break,Bank Error
TXN-004685,2035-10-29,ACCT-522365,Citibank,301.6005,458.67166,Match,
TXN-001732,2027-09-28,ACCT-951048,Wells Fargo,2459.5479,2346.4927,Match,
TXN-004743,2035-12-26,ACCT-205600,Wells Fargo,99.653336,68.27539,Match,
TXN-004522,2035-05-19,ACCT-308181,Wells Fargo,-3.9550128,-3.9471052,Break,Missing in Books
TXN-006341,2040-05-11,ACCT-316933,Chase,2872.8237,2828.0774,Match,
TXN-000577,2024-07-30,ACCT-887975,Citibank,-4.005535,-4.0975285,Match,
TXN-005203,2037-03-30,ACCT-192426,Bank of America,-3.9965289,-4.0846434,Match,
TXN-006364,2040-06-03,ACCT-411781,Citibank,-4.0050516,-4.0952497,Break,Timing Difference
TXN-000440,2024-03-15,ACCT-391837,Citibank,5.1706686,28.022446,Break,Timing Difference
TXN-002751,2030-07-13,ACCT-145663,Chase,-3.9060638,-3.4389963,Match,
TXN-007488,2043-07-02,ACCT-629807,Chase,499.8816,597.53094,Match,
TXN-005273,2037-06-08,ACCT-623195,Citibank,-3.7975087,-3.7438307,Break,Amount Mismatch
TXN-005654,2038-06-24,ACCT-895124,Chase,2825.0898,2781.0327,Match,
TXN-004000,2033-12-13,ACCT-633818,Citibank,-4.005632,-4.097624,Break,Fraudulent/Unauthorized
TXN-006034,2039-07-09,ACCT-741171,Bank of America,-4.00313,-4.088176,Break,Missing in Books
TXN-000583,2024-08-05,ACCT-978940,Chase,461.438,928.1587,Match,
TXN-009931,2050-03-10,ACCT-565872,Bank of America,-4.0056357,-4.097635,Break,Duplicate Entry
TXN-007052,2042-04-22,ACCT-045674,HSBC,1710.4417,1885.5521,Match,
TXN-008159,2045-05-03,ACCT-844401,Citibank,-4.005574,-4.0974545,Break,Bank Error
TXN-009897,2050-02-04,ACCT-117502,Citibank,-3.8432367,-3.8915808,Match,
TXN-002250,2029-02-27,ACCT-344436,Bank of America,-4.005636,-4.097636,Match,
TXN-004641,2035-09-15,ACCT-320995,Bank of America,-4.0056133,-4.0975227,Match,
TXN-009486,2048-12-20,ACCT-353581,Citibank,-4.005636,-4.097636,Break,Timing Difference
TXN-004948,2036-07-18,ACCT-982773,Citibank,27.098175,28.368465,Match,
TXN-009921,2050-02-28,ACCT-538528,Chase,116.007774,204.42432,Match,
TXN-001964,2028-05-17,ACCT-807551,Bank of America,-4.004898,-4.0961275,Break,Bank Error
TXN-008244,2045-07-27,ACCT-145445,HSBC,-3.1285305,-3.3255153,Match,
TXN-006591,2041-01-16,ACCT-402545,Chase,112.840034,107.36889,Match,
TXN-008848,2047-03-23,ACCT-943460,Bank of America,-2.97896,-0.14668383,Break,Timing Difference
TXN-000322,2023-11-18,ACCT-503953,Bank of America,-4.00558,-4.0975933,Break,Missing in Books
TXN-002679,2030-05-02,ACCT-235088,Chase,0.39389357,3.0268118,Break,Missing in Bank
TXN-004626,2035-08-31,ACCT-375228,Bank of America,77.833305,90.63503,Break,Timing Difference
TXN-004950,2036-07-20,ACCT-056661,Bank of America,-3.9840448,-4.078851,Match,
TXN-008329,2045-10-20,ACCT-769135,Citibank,0.23598084,2.1964605,Match,
