Transaction ID,Date,Account Number,Bank Name,Bank Statement Amount,Book Records Amount,Match Status,Amount_Difference,Predicted Break Reason
TXN-000002,2023-01-02,3563.0,HSBC,0.23801884,0.85056293,Break,-0.6125440900000001,Timing Difference
TXN-000005,2023-01-05,-1.0,Wells Fargo,-4.0054226,-4.0975285,Match,0.09210589999999996,No Break
TXN-000006,2023-01-06,1698.0,Bank of America,-4.005636,-4.097636,Match,0.09199999999999964,No Break
TXN-000008,2023-01-08,-1.0,Wells Fargo,-4.005636,-4.0976357,Break,0.09199969999999968,Bank Error
TXN-000010,2023-01-10,-1.0,Citibank,94.05522,416.8837,Break,-322.82847999999996,Timing Difference
TXN-000012,2023-01-12,1835.0,Chase,2358.056,2402.6355,Match,-44.579499999999825,No Break
TXN-000014,2023-01-14,-1.0,Chase,-3.80373,-3.7766476,Match,-0.02708239999999984,No Break
TXN-000017,2023-01-17,2015.0,Chase,11.769803,25.356604,Break,-13.586801000000001,Amount Mismatch
TXN-000022,2023-01-22,3552.0,Chase,1755.4891,2046.6462,Match,-291.1570999999999,No Break
TXN-000023,2023-01-23,3119.0,HSBC,-3.9713416,-4.023224,Break,0.05188239999999977,Missing in Bank
TXN-000039,2023-02-08,-1.0,Citibank,-3.8923671,-3.8526864,Match,-0.0396806999999999,No Break
TXN-000041,2023-02-10,-1.0,HSBC,180.56783,288.172,Break,-107.60417000000004,Missing in Books
TXN-000055,2023-02-24,-1.0,Bank of America,-4.0056353,-4.0976357,Match,0.09200039999999987,No Break
TXN-000056,2023-02-25,1639.0,Citibank,2176.7744,2065.3936,Match,111.38079999999991,No Break
TXN-000061,2023-03-02,4071.0,Bank of America,-3.7414165,-3.9500897,Match,0.20867319999999978,No Break
TXN-000065,2023-03-06,-1.0,HSBC,-2.0740597,-2.0211067,Match,-0.05295300000000003,No Break
TXN-000068,2023-03-09,4166.0,Citibank,-4.0056343,-4.097635,Match,0.09200070000000071,No Break
TXN-000073,2023-03-14,-1.0,Citibank,-4.0056353,-4.0976353,Match,0.09200000000000053,No Break
TXN-000075,2023-03-16,-1.0,Bank of America,-4.001518,-4.087836,Match,0.08631800000000034,No Break
TXN-000078,2023-03-19,-1.0,Bank of America,-4.004268,-4.090119,Break,0.0858509999999999,Missing in Books
TXN-000079,2023-03-20,-1.0,Wells Fargo,-3.8972187,-3.8770733,Break,-0.020145399999999647,Timing Difference
TXN-000090,2023-03-31,-1.0,Bank of America,-3.98467,-4.064462,Break,0.07979199999999986,Amount Mismatch
TXN-000095,2023-04-05,-1.0,HSBC,-4.0055776,-4.097597,Break,0.09201940000000075,Bank Error
TXN-000098,2023-04-08,413.0,Bank of America,-3.9680412,-4.0518837,Match,0.08384250000000026,No Break
TXN-000099,2023-04-09,3819.0,HSBC,-4.005092,-4.0970607,Break,0.09196869999999979,Missing in Books
TXN-000106,2023-04-16,-1.0,Chase,2085.3108,2233.7197,Match,-148.4088999999999,No Break
TXN-000117,2023-04-27,1583.0,Bank of America,-3.8448648,-3.428751,Break,-0.41611379999999976,Missing in Bank
TXN-000118,2023-04-28,-1.0,Wells Fargo,-3.9896328,-4.065708,Break,0.07607520000000001,Fraudulent/Unauthorized
TXN-000126,2023-05-06,-1.0,Bank of America,-3.9939327,-4.03486,Break,0.04092730000000033,Duplicate Entry
TXN-000127,2023-05-07,-1.0,Citibank,-3.9272077,-3.6874938,Break,-0.23971389999999992,Fraudulent/Unauthorized
TXN-000131,2023-05-11,-1.0,Chase,-3.6568089,-3.9693716,Match,0.31256269999999997,No Break
TXN-000134,2023-05-14,3715.0,Bank of America,-4.005633,-4.097629,Break,0.09199599999999997,Bank Error
TXN-000138,2023-05-18,-1.0,Citibank,-3.5136235,-3.5281234,Match,0.014499900000000121,No Break
TXN-000141,2023-05-21,-1.0,Bank of America,-4.0056357,-4.0976353,Match,0.09199960000000029,No Break
TXN-000142,2023-05-22,-1.0,Bank of America,-4.0055885,-4.0976124,Match,0.09202390000000005,No Break
TXN-000146,2023-05-26,-1.0,HSBC,1862.1957,1506.4915,Match,355.7041999999999,No Break
TXN-000148,2023-05-28,2239.0,Wells Fargo,86.00821,191.50645,Break,-105.49824,Timing Difference
TXN-000149,2023-05-29,1599.0,Citibank,377.18698,1306.841,Break,-929.65402,Fraudulent/Unauthorized
TXN-000154,2023-06-03,-1.0,Bank of America,-4.0056353,-4.097635,Break,0.09199970000000057,Bank Error
TXN-000155,2023-06-04,-1.0,Bank of America,-4.0054274,-4.0972652,Break,0.09183779999999953,Duplicate Entry
TXN-000156,2023-06-05,-1.0,HSBC,2681.3472,2568.0483,Match,113.29890000000023,No Break
TXN-000159,2023-06-08,-1.0,Wells Fargo,-4.0047507,-4.095928,Break,0.09117730000000002,Missing in Books
TXN-000162,2023-06-11,-1.0,Chase,-3.9955812,-4.089079,Break,0.09349779999999974,Duplicate Entry
TXN-000163,2023-06-12,-1.0,Citibank,181.297,441.25095,Break,-259.95394999999996,Duplicate Entry
TXN-000164,2023-06-13,4359.0,Bank of America,-4.005636,-4.097636,Match,0.09199999999999964,No Break
TXN-000190,2023-07-09,470.0,Citibank,-4.0053906,-4.097007,Break,0.09161639999999949,Duplicate Entry
TXN-000191,2023-07-10,-1.0,Bank of America,-4.0056353,-4.0976315,Match,0.09199620000000053,No Break
TXN-000198,2023-07-17,-1.0,Chase,-4.005477,-4.0974603,Match,0.09198329999999988,No Break
TXN-000203,2023-07-22,-1.0,Citibank,-4.001461,-4.094413,Match,0.09295200000000037,No Break
TXN-000205,2023-07-24,-1.0,Chase,-4.005622,-4.0976253,Match,0.09200330000000001,No Break
TXN-000207,2023-07-26,4195.0,Chase,2762.3186,2537.4355,Match,224.8831,No Break
TXN-000208,2023-07-27,3313.0,HSBC,2570.645,2167.3213,Break,403.3236999999999,Amount Mismatch
TXN-000214,2023-08-02,1037.0,Bank of America,-4.005354,-4.096182,Break,0.09082800000000013,Missing in Books
TXN-000225,2023-08-13,4739.0,Citibank,1811.6649,1489.1377,Match,322.5272,No Break
TXN-000226,2023-08-14,1843.0,Bank of America,-3.9822948,-4.017047,Break,0.03475219999999979,Timing Difference
TXN-000227,2023-08-15,4026.0,Chase,-4.003834,-4.0931687,Break,0.08933469999999932,Fraudulent/Unauthorized
TXN-000233,2023-08-21,-1.0,Chase,0.9726633,-0.14274968,Match,1.1154129799999999,No Break
TXN-000236,2023-08-24,-1.0,Citibank,-3.791592,-3.486652,Break,-0.3049400000000002,Bank Error
TXN-000237,2023-08-25,-1.0,Chase,-4.005636,-4.097636,Break,0.09199999999999964,Bank Error
TXN-000238,2023-08-26,-1.0,Chase,2781.3276,2672.6177,Match,108.70990000000029,No Break
TXN-000242,2023-08-30,2145.0,Wells Fargo,-4.0055594,-4.0975637,Break,0.09200430000000015,Missing in Bank
TXN-000244,2023-09-01,4330.0,Bank of America,-4.005636,-4.097636,Break,0.09199999999999964,Duplicate Entry
TXN-000247,2023-09-04,-1.0,Citibank,-4.0050626,-4.09717,Break,0.09210740000000062,Missing in Books
TXN-000250,2023-09-07,-1.0,Bank of America,-4.0056295,-4.097629,Match,0.09199950000000001,No Break
TXN-000256,2023-09-13,4739.0,Citibank,-4.004732,-4.097116,Match,0.09238400000000002,No Break
TXN-000259,2023-09-16,1030.0,Wells Fargo,-3.9718802,-4.066113,Match,0.09423279999999945,No Break
TXN-000261,2023-09-18,2322.0,Bank of America,-4.0040107,-4.0920196,Break,0.08800890000000017,Fraudulent/Unauthorized
TXN-000262,2023-09-19,1005.0,Citibank,-2.3434436,0.17123161,Break,-2.51467521,Timing Difference
TXN-000263,2023-09-20,4397.0,Chase,-4.005635,-4.097635,Match,0.09200000000000053,No Break
TXN-000265,2023-09-22,-1.0,Citibank,-3.48583,-3.2024274,Match,-0.28340260000000006,No Break
TXN-000270,2023-09-27,-1.0,Bank of America,-3.922221,-3.8457227,Break,-0.07649829999999991,Missing in Bank
TXN-000272,2023-09-29,-1.0,Citibank,318.36606,344.37515,Match,-26.009090000000015,No Break
TXN-000278,2023-10-05,-1.0,Citibank,-3.248078,-3.7201827,Match,0.47210470000000004,No Break
TXN-000281,2023-10-08,3885.0,Bank of America,-3.3932648,-1.3652993,Break,-2.0279654999999996,Fraudulent/Unauthorized
TXN-000282,2023-10-09,3397.0,Chase,977.63696,1688.0768,Break,-710.43984,Fraudulent/Unauthorized
TXN-000283,2023-10-10,-1.0,Chase,-4.0056357,-4.097636,Match,0.09200029999999959,No Break
TXN-000286,2023-10-13,4398.0,Chase,-4.0050626,-4.0963826,Break,0.09132000000000051,Missing in Bank
TXN-000295,2023-10-22,2231.0,Bank of America,-4.0036445,-4.094056,Match,0.09041150000000009,No Break
TXN-000302,2023-10-29,4116.0,Chase,20.016096,35.24773,Match,-15.231633999999996,No Break
TXN-000303,2023-10-30,-1.0,Bank of America,-3.6221058,-3.6973245,Match,0.0752187000000002,No Break
TXN-000307,2023-11-03,-1.0,Citibank,18.573456,102.640724,Break,-84.06726800000001,Amount Mismatch
TXN-000314,2023-11-10,4748.0,Bank of America,-4.0056357,-4.0976357,Match,0.09199999999999964,No Break
TXN-000318,2023-11-14,9.0,Bank of America,-4.0056067,-4.0975566,Break,0.09194989999999947,Missing in Bank
TXN-000330,2023-11-26,351.0,Bank of America,1220.9908,1083.3068,Match,137.68399999999997,No Break
TXN-000339,2023-12-05,3428.0,Citibank,-1.616747,5.536435,Break,-7.153182,Fraudulent/Unauthorized
TXN-000341,2023-12-07,4898.0,HSBC,578.70917,397.46005,Match,181.24911999999995,No Break
TXN-000342,2023-12-08,-1.0,Chase,-4.0047283,-4.0955954,Break,0.09086709999999965,Missing in Books
TXN-000343,2023-12-09,997.0,Chase,-3.9968596,-4.084415,Match,0.08755539999999984,No Break
TXN-000344,2023-12-10,-1.0,Citibank,-3.457251,-3.1674864,Break,-0.2897645999999998,Fraudulent/Unauthorized
TXN-000346,2023-12-12,-1.0,Citibank,194.44989,630.80707,Break,-436.35717999999997,Duplicate Entry
TXN-000353,2023-12-19,-1.0,Citibank,-3.6943648,-3.6215782,Break,-0.0727865999999997,Amount Mismatch
TXN-000360,2023-12-26,-1.0,Citibank,-3.320081,-3.3978736,Match,0.07779259999999999,No Break
TXN-000362,2023-12-28,741.0,Bank of America,-3.9854052,-4.057556,Match,0.07215079999999974,No Break
TXN-000363,2023-12-29,-1.0,Bank of America,0.75530183,4.004081,Match,-3.24877917,No Break
TXN-000364,2023-12-30,4417.0,Citibank,80.835655,257.8834,Break,-177.047745,Amount Mismatch
TXN-000365,2023-12-31,-1.0,HSBC,-4.0035753,-4.095426,Break,0.09185070000000017,Missing in Books
TXN-000366,2024-01-01,958.0,Bank of America,-4.0055647,-4.097597,Match,0.09203230000000051,No Break
TXN-000370,2024-01-05,4050.0,Chase,-3.7506628,-3.5338287,Match,-0.21683410000000025,No Break
TXN-000371,2024-01-06,3312.0,Chase,-3.9699695,-4.0672755,Match,0.09730600000000011,No Break
TXN-000375,2024-01-10,3992.0,Bank of America,-3.689603,-2.850627,Break,-0.8389760000000002,Fraudulent/Unauthorized
TXN-000378,2024-01-13,393.0,Chase,2.0815403,5.8633766,Break,-3.7818362999999997,Missing in Books
TXN-000385,2024-01-20,4775.0,Bank of America,-4.005636,-4.097636,Match,0.09199999999999964,No Break
TXN-000391,2024-01-26,-1.0,HSBC,-0.49021354,-1.8402749,Match,1.35006136,No Break
TXN-000392,2024-01-27,3584.0,Wells Fargo,-3.9969664,-4.087808,Break,0.09084160000000008,Amount Mismatch
TXN-000393,2024-01-28,-1.0,Citibank,-4.005636,-4.097636,Match,0.09199999999999964,No Break
TXN-000396,2024-01-31,2894.0,Bank of America,-4.00559,-4.0974813,Break,0.09189130000000034,Timing Difference
TXN-000399,2024-02-03,-1.0,HSBC,-4.005636,-4.097636,Break,0.09199999999999964,Bank Error
TXN-000400,2024-02-04,2340.0,Chase,-3.419181,-3.1192327,Break,-0.29994830000000006,Missing in Books
TXN-000405,2024-02-09,-1.0,Bank of America,-4.0052524,-4.0967436,Break,0.0914912000000001,Duplicate Entry
TXN-000406,2024-02-10,-1.0,Chase,-1.7677943,4.1318846,Break,-5.8996789000000005,Missing in Books
TXN-000407,2024-02-11,3788.0,HSBC,-4.0011177,-4.0889153,Break,0.08779760000000003,Missing in Books
TXN-000408,2024-02-12,-1.0,Chase,11.578093,21.786068,Break,-10.207975,Timing Difference
TXN-000413,2024-02-17,-1.0,Chase,2522.2798,2260.9224,Match,261.35739999999987,No Break
TXN-000418,2024-02-22,-1.0,Wells Fargo,-4.003454,-4.093579,Break,0.09012500000000045,Duplicate Entry
TXN-000420,2024-02-24,2984.0,Bank of America,-4.005622,-4.097623,Match,0.09200099999999978,No Break
TXN-000424,2024-02-28,1887.0,Citibank,-4.005296,-4.0971766,Match,0.09188059999999965,No Break
TXN-000425,2024-02-29,815.0,Chase,15.627193,18.859173,Match,-3.2319799999999983,No Break
TXN-000432,2024-03-07,1013.0,Bank of America,-3.9287689,-4.064059,Match,0.1352901000000002,No Break
TXN-000442,2024-03-17,3631.0,Citibank,-4.005636,-4.097636,Break,0.09199999999999964,Duplicate Entry
